name,top_song_1,top_song_2,top_song_3
Rilo Kiley,Silver Lining,Portions for Foxes,With Arms Outstretched
Rojuu,Umi,Dame Otro Motivo,Lucky
Role Model,Writing's On The Wall,Look At That Woman,Some Protector
Rose Gray,Joshua Tree,April,I Don't Speak French
Roza Terenzi Live,Gravity Bongo,Mwah,Bricks
rusowsky,malibU,neo roneo,mwah :3
Rustie,Attak (feat. Danny Brown),Slasherr,After Light
Sade Oulotola,,,
Safety Trance Live AV,most of me (is elsewhere),Destruccion,Cuando Suena El Dembow
Sama’ Abdulhadi,Reverie,Well Fee,Vast Visitation (Sama’ Abdulhadi Remix)
Sama Yax,,,
Shackleton Live,Blood on My Hands,,
Shlohmo,Wen Uuu,Places,The End
Six Sex,BAWDY is A LOT [Nick León + Six Sex],How to make your ass bigger,Not ur mom
Skrillex,Scary Monsters and Nice Sprites,First of the Year (Equinox),Where Are Ü Now (feat. Justin Bieber)
Skullcrusher,Dragon,,
Slowdive,When the Sun Hits,Sugar for the Pill,Dagger
Smerz,You got time and I got money,lts here,Feisty
Sofia,,,
Sofy Suars,BOCA LLENA (Sewa Choki Remix) [feat. SEWA],BOCA LLENA,NO ME INVITES
Somos la Herencia,Un Nuevo Idioma,Parque de Atenas,Hombres Libres
Curated by SONNY,One Night (feat. Raphaella) [6am Remix],Asking,Turn Back Time
Spill Tab,Roamer,Suckerrr,Window
st.frances,,,
Stein,Stranger Things,Kids,Eulogy
Sudan Archives,A BUG'S LIFE,Nont For Sale,Confessions
SVSTO,En La Pista,MIL€,Alfa
Teo Planell,Abraxas!,Beatrice,Allá Donde Quiera Que Estés
Texas Is The Reason,Do You Know Who You Are?,Back And To the Left,Johnny On the Spot
The Avalanches DJ Set,Because I'm Me,Since I Left You,Frontier Psychiatrist
The Cure,Just Like Heaven,Boys Don't Cry (Single Version),Lovesong
The New Eves,Volcano,Highway Man,Rivers Run Red
The Sophs,THE DOG DIES IN THE END,"They Told Me Jump, I Said How High",SWEETIEPIE
The xx,Intro,Crystalised,On Hold
These New Puritans,A Season In Hell,Bells,The Other Side
Tiyumii,,,
Touché Amoré,Flowers and You,Rapture,Limelight (feat. Manchester Orchestra)
Toumba live,Istibtan,Rashash (Mixed),Janoob
TV Girl,Cigarettes out the Window,Lovers Rock,Blue Hair
Underground Resistance,I Am Ur,Timeline,The Final Frontier (Nomadico Remix)
u.r.trax Live,i can’t believe (you’re real),Br0ken,xclusive nrg
Ven’nus,,,
Viagra Boys,Sports,Man Made of Meat,Troglodyte
VVV [Trippin'you],Invierno Nuclear,Ataque de Pánico en la Sierra,Mi Sangre
Water From Your Eyes,Life Signs,Nights in Armor,Playing Classics
Waterbaby,Stockholmsvy,Memory Be a Blade,Srs Ice
Wet Leg,Chaise Longue,Wet Dream,catch these fists
xavisphone,,,
Yard Act,Dream Job,The Trench Coat Museum,Petroleum
Ydegirl,Stone Femmes,Amber,Let's Make Out
¥ØU$UK€ ¥UK1MAT$U,,,
Zohar,שיר אהבה אינדיאני (מיגל),,
